Mes/Ano;Varia‡Æo Mensal (%);Acumulado no Ano (%)
jan/15;1.24;1.24
fev/15;1.22;2.47
mar/15;1.32;3.82
abr/15;0.71;4.56
mai/15;0.74;5.34
jun/15;0.79;6.17
jul/15;0.62;6.82
ago/15;0.22;7.06
set/15;0.54;7.64
out/15;0.82;8.50
nov/15;1.01;9.56
dez/15;0.96;10.67
jan/16;1.27;1.27
fev/16;0.90;2.18
mar/16;0.43;2.62
abr/16;0.61;3.25
mai/16;0.78;4.06
jun/16;0.35;4.42
jul/16;0.52;4.96
ago/16;0.44;5.42
set/16;0.08;5.50
out/16;0.26;5.77
nov/16;0.18;5.96
dez/16;0.30;6.29
jan/17;0.38;0.38
fev/17;0.33;0.71
mar/17;0.25;0.96
abr/17;0.14;1.10
mai/17;0.31;1.41
jun/17;-0.23;1.18
jul/17;0.24;1.42
ago/17;0.19;1.61
set/17;0.16;1.77
out/17;0.42;2.19
nov/17;0.28;2.47
dez/17;0.44;2.95
jan/18;0.29;0.29
fev/18;0.32;0.61
mar/18;0.09;0.70
abr/18;0.22;0.92
mai/18;0.40;1.32
jun/18;1.26;2.58
jul/18;0.33;2.91
ago/18;-0.09;2.82
set/18;0.48;3.30
out/18;0.45;3.75
nov/18;-0.21;3.54
dez/18;0.15;3.75
jan/19;0.32;0.32
fev/19;0.43;0.75
mar/19;0.15;0.90
abr/19;0.57;1.47
mai/19;0.13;1.60
jun/19;0.01;1.61
jul/19;0.19;1.80
ago/19;0.11;1.91
set/19;-0.04;1.87
out/19;0.10;1.97
nov/19;0.51;2.48
dez/19;1.15;4.31
jan/20;0.21;0.21
fev/20;0.25;0.46
mar/20;0.07;0.53
abr/20;-0.31;0.22
mai/20;-0.38;-0.16
jun/20;0.26;0.10
jul/20;0.36;0.46
ago/20;0.24;0.70
set/20;0.64;1.34
out/20;0.86;2.20
nov/20;0.89;3.09
dez/20;1.35;4.52
jan/21;0.25;0.25
fev/21;0.86;1.11
mar/21;0.93;2.04
abr/21;0.31;2.35
mai/21;0.83;3.18
jun/21;0.53;3.71
jul/21;0.96;4.67
ago/21;0.87;5.54
set/21;1.16;6.70
out/21;1.25;7.95
nov/21;0.95;8.90
dez/21;0.73;10.06
jan/22;0.54;0.54
fev/22;1.01;1.55
mar/22;1.62;3.17
abr/22;1.06;4.23
mai/22;0.47;4.70
jun/22;0.67;5.37
jul/22;-0.68;4.69
ago/22;-0.36;4.33
set/22;-0.29;4.04
out/22;0.59;4.63
nov/22;0.41;5.04
dez/22;0.62;5.78
jan/23;0.53;0.53
fev/23;0.84;1.37
mar/23;0.71;2.08
abr/23;0.61;2.69
mai/23;0.23;2.92
jun/23;-0.08;2.84
jul/23;0.12;2.96
ago/23;0.23;3.19
set/23;0.26;3.45
out/23;0.24;3.69
nov/23;0.28;3.97
dez/23;0.56;4.62
jan/24;0.42;0.42
fev/24;0.83;1.25
mar/24;0.16;1.41
abr/24;0.38;1.79
mai/24;0.46;2.25
jun/24;0.21;2.46
jul/24;0.38;2.84
ago/24;-0.02;2.82
set/24;0.44;3.26
out/24;0.56;3.82
nov/24;0.39;4.21
dez/24;0.52;4.83
jan/25;0.16;0.16
fev/25;1.31;1.47
mar/25;0.56;2.03
abr/25;0.43;2.46
mai/25;0.26;2.72
jun/25;0.24;2.96
jul/25;0.26;3.22
ago/25;-0.11;3.11
set/25;0.48;3.59
out/25;0.09;3.68
nov/25;0.18;3.86
dez/25;0.33;4.26
